"!Susie (http://www.sync2it.com/susie)","CR","Sync2It bookmark management & clustering engine","","http://www.sync2it.com",""
"<a href='http://www.unchaos.com/'> UnChaos </a> From Chaos To Order Hybrid Web Search Engine.(vadim_gonchar@unchaos.com)","R","UnCHAOS search robot","Site is dead","http://www.unchaos.com/",""
"<a href='http://www.unchaos.com/'> UnChaos Bot Hybrid Web Search Engine. </a> (vadim_gonchar@unchaos.com)","R","UnCHAOS search robot","Site is dead","http://www.unchaos.com/",""
"<b> UnChaosBot From Chaos To Order UnChaos Hybrid Web Search Engine at www.unchaos.com </b> (info@unchaos.com)","R","UnCHAOS search robot","Site is dead","http://www.unchaos.com/",""
"<http://www.sygol.com/> http://www.sygol.com","R","Sygol Search (Italy) robot","s.also SygolBot","http://www.sygol.com/",""
"( Robots.txt Validator http://www.searchengineworld.com/cgi-bin/robotcheck.cgi )","C","SearchEngineWorld's robots.txt validator","Services is no more available","http://www.searchengineworld.com/cgi-bin/robotcheck.cgi",""
"(DreamPassport/3.0; isao/MyDiGiRabi)","B","DreamCast DreamPassport browser","","http://www.dricas.com/dp/",""
"(Privoxy/1.0)","P","Privoxy web proxy","s.also Privoxy/3.0 (Anonymous)","http://www.privoxy.org/",""
"*/Nutch-0.9-dev","R","Unknown Yahoo robot","123.113.184.2xx","http://www.yahoo.com",""
"+SitiDi.net/SitiDiBot/1.0 (+Have Good Day)","R","SitiDi.net search (Germany) robot","","http://www.sitidi.net/",""
"-DIE-KRAEHE- META-SEARCH-ENGINE/1.1 http://www.die-kraehe.de","R","Die Kraehe Meta-Search-Engine (Germany) link checking","","http://www.die-kraehe.de",""
"123spider-Bot (Version: 1.02, powered by www.123spider.de","C","123spider.de (Germany) web directory link checking","","http://www.123spider.de/",""
"192.comAgent","R","192.com - UK web directory","217.160.75.2xx","http://www.192.com/",""
"1st ZipCommander (Net) - http://www.zipcommander.com/","B","1st ZipCommander Net - IE based browser","","http://www.zipcommander.com/",""
"2Bone_LinkChecker/1.0 libwww-perl/5.64","C","2Bone online link checker","","http://www.2bone.com/links/linkchecker.shtml",""
"4anything.com LinkChecker v2.0","R","4Anything robot","","http://www.4anything.com",""
"8484 Boston Project v 1.0","S","Unknown guestbook spamming or harvesting tool from diff. IPs","s. various honey pot sites","http://www.projecthoneypot.org/bsh_X19tb2RlPWdsb2JhbCZfX2J5PWMmY3RyeT11cyZ1YWc9ODQ4NCtCb3N0b24rUHJvamVjdCt2KzEuMA..",""
":robot/1.0 (linux) ( admin e-mail: undefined http://www.neofonie.de/loesungen/search/robot.html )","R","neofonie search robot Germany","","http://www.neofonie.de/loesungen/search/",""
"A-Online Search","R","A-Online.at robot - now Jet2Web Search","","http://www.jet2web.net/portal",""
"A1 Keyword Research/1.0.2 (+http://www.micro-sys.dk/products/keyword-research/) miggibot/2007.03.27","C","A1 Keyword Research - search engine and keyword optimization software","","http://www.micro-sys.dk/products/keyword-research/",""
"A1 Sitemap Generator/1.0 (+http://www.micro-sys.dk/products/sitemap-generator/) miggibot/2006.01.24","R","MiggiBot website crawler engine - A1 Sitemap Generator","","http://www.micro-sys.dk/products/sitemap-generator/","http://www.micro-sys.dk/developer/miggibot/"
"aardvark-crawler","R","Aardvark web crawler for Sun's Blog recommendations","192.9.71.7x","http://blogs.sun.com/plamere/",""
"AbachoBOT","R","Abacho / Crawler.de robot","","http://www.abacho.com",""
"AbachoBOT (Mozilla compatible)","R","Abacho / Crawler.de robot","","http://www.abacho.com",""
"ABCdatos BotLink/5.xx.xxx#BBL","R","ABCdatos - Castilian program & tutorial directory","","http://www.abcdatos.com",""
"Aberja Checkomat","R","Aberja Hybridsuchmaschine (Germany) link checking","","http://www.aberja.de",""
"abot/0.1 (abot; http://www.abot.com; abot@abot.com)","R","Nameprotect copyright search robot (24.177.134.x)","s. also - np/0.1_(np;_http://www.nameprotect.com... - aipbot/1.0 (aipbot; http://www.aipbot.com...","http://www.nameprotect.com/",""
"About/0.1libwww-perl/5.47","R","About robot","","http://www.about.com",""
"Accelatech RSSCrawler/0.4","R","Accela Technology RSS feed crawler","125.100.242.2xx","http://www.accelatech.com/",""
"accoona","R","Accoona Search robot","65.17.255.xx","http://www.accoona.com",""
"Accoona-AI-Agent/1.1.1 (crawler at accoona dot com)","R","Accoona Search robot","65.17.255.xx","http://www.accoona.com",""
"Accoona-AI-Agent/1.1.2 (aicrawler at accoonabot dot com)","R","Accoona Search robot","65.17.255.xx","http://www.accoona.com",""
"Ace Explorer","B","Ace Explorer - IE based browser","","http://www.aceexplorer.com",""
"Ack (http://www.ackerm.com/)","R","Ackerm search robot","64.74.153.xx","http://www.ackerm.com/",""
"AcoiRobot","R","Acoi picture finder robot","","http://monetdb.cwi.nl/acoi/projects.html",""
"Acoon Robot v1.50.001","R","Acoon.de search (Germany) robot","80.237.153.10x","http://www.acoon.de",""
"Acoon Robot v1.52 (http://www.acoon.de)","R","Acoon.de search (Germany) robot","80.237.153.10x","http://www.acoon.de",""
"Acoon-Robot 4.0.x.[xx] (http://www.acoon.de)","R","Acoon.de search (Germany) robot","80.237.209.xx","http://www.acoon.de",""
"Acoon-Robot v3.xx (http://www.acoon.de and http://www.acoon.com)","R","Acoon.de search (Germany) robot","80.237.153.10x","http://www.acoon.de",""
"Acorn/Nutch-0.9 (Non-Profit Search Engine; acorn.isara.org; acorn at isara dot org)","R","Acorn Search Project","124.157.145.1xx","http://acorn.no-ip.org/",""
"ActiveBookmark 1.x","CB","LibMaster.com Active Bookmark HTML page creator","","http://www.libmaster.com/software.php",""
"Activeworlds","B","Activeworlds 3D homepage browser","","http://www.activeworlds.com",""
"ActiveWorlds/3.xx (xxx)","B","Activeworlds 3D homepage browser","","http://www.activeworlds.com",""
"Ad Muncher v4.xx.x","P","Ad Muncher - banner killer","","http://www.admuncher.com/",""
"Ad Muncher v4x Build xxxxx","P","Ad Muncher - banner killer","","http://www.admuncher.com/",""
"Adaxas Spider (http://www.adaxas.net/)","C","website directory adaxas link checking","85.10.199.xx","http://www.adaxas.net/",""
"Advanced Browser (http://www.avantbrowser.com)","B","Avant Browser - IE based browser","","http://www.avantbrowser.com",""
"AESOP_com_SpiderMan","R","Aesop robot","","http://www.aesop.com",""
"agadine/1.x.x (+http://www.agada.de)","R","Agada search (Germany) robot","s. also Mozilla/4.0 (agadine3.0)","http://www.agada.de",""
